claim_id,visibility,profile_class,artifact_path
readme.current_functionality_scope,public,secure,docs/LINEAGE.md
security.mode_firewall,public,secure,docs/SECURITY_MODE_MATRIX.md
formal.lean_record,public,secure,docs/LEAN_FORMAL_VERIFICATION_2026-06-03.md
entropy.role_separation,public,secure,docs/ENTROPY_MODEL.md
audit.fail_closed_bootstrap_budget,internal,exploratory,docs/AUDIT_REMEDIATION_2026-07-13.md
cram.residue_native_dag_foundation,internal,exploratory,docs/CRAM_RESIDUE_NATIVE_DAG_EXECUTION.md
app.private_feedback_residue_core,internal,exploratory,crates/private-feedback-core/README.md
app.private_feedback_nine65_adapter,internal,exploratory,crates/private-feedback-nine65/README.md
wasm.client_boundary,internal,exploratory,docs/SECURITY_MODE_MATRIX.md
bench.external_fhe_matrix_protocol,internal,exploratory,docs/EXTERNAL_FHE_BENCHMARK_MATRIX.md
security.ct_ntt_source_hardening,internal,exploratory,docs/CT_NTT_AUDIT_2026-07-13.md
formal.app_critical_spine,internal,exploratory,docs/FORMAL_APP_CRITICAL_SPINE.md
docs.claim_evidence_ledger,internal,exploratory,docs/CLAIM_EVIDENCE_LEDGER.md
readme.verified_capability_2026_08_22,public,secure,docs/CLAIM_SURFACE_AND_LIMITS_2026-08-22.md
params.public_refresh_admissibility,public,secure,docs/CLAIM_SURFACE_AND_LIMITS_2026-08-22.md
params.screened_security_disclosure,internal,exploratory,docs/CLAIM_SURFACE_AND_LIMITS_2026-08-22.md
